Team,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
Golden State Warriors,0.491,0.385,0.557,0.801,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7,2018
New Orleans Pelicans,0.473,0.344,0.536,0.761,11.1,36.2,47.3,27.0,7.4,5.4,14.8,21.1,115.4,2018
Philadelphia 76ers,0.471,0.359,0.529,0.771,10.9,36.9,47.8,26.9,7.4,5.3,14.9,21.3,115.2,2018
Los Angeles Clippers,0.471,0.388,0.507,0.792,9.7,35.8,45.5,24.0,6.8,4.7,14.5,23.3,115.1,2018
Portland Trail Blazers,0.467,0.359,0.523,0.814,11.8,36.2,48.0,23.0,6.7,5.0,13.8,20.4,114.7,2018
Oklahoma City Thunder,0.454,0.348,0.51,0.713,12.6,35.5,48.1,23.4,9.3,5.2,14.0,22.4,114.5,2018
Toronto Raptors,0.474,0.366,0.539,0.804,9.6,35.6,45.2,25.4,8.3,5.3,14.0,21.0,114.4,2018
Sacramento Kings,0.464,0.378,0.504,0.726,11.0,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2,2018
Washington Wizards,0.468,0.341,0.543,0.768,9.7,32.7,42.4,26.3,8.3,4.6,14.1,20.7,114.0,2018
Houston Rockets,0.449,0.356,0.551,0.791,10.2,31.9,42.1,21.2,8.5,4.9,13.3,22.0,113.9,2018
Atlanta Hawks,0.451,0.352,0.518,0.752,11.6,34.5,46.1,25.8,8.2,5.1,17.0,23.6,113.3,2018
Minnesota Timberwolves,0.456,0.351,0.504,0.787,11.3,33.5,44.8,24.6,8.3,5.0,13.1,20.3,112.5,2018
Boston Celtics,0.465,0.365,0.527,0.802,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4,2018
Brooklyn Nets,0.449,0.353,0.513,0.745,11.0,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2,2018
Los Angeles Lakers,0.47,0.333,0.541,0.699,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8,2018
San Antonio Spurs,0.478,0.392,0.513,0.819,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7,2018
Utah Jazz,0.468,0.356,0.541,0.736,10.0,36.4,46.4,26.0,8.1,5.9,15.1,21.1,111.7,2018
Denver Nuggets,0.466,0.351,0.527,0.755,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20.0,110.7,2018
Charlotte Hornets,0.448,0.351,0.507,0.797,9.9,33.9,43.8,23.2,7.2,4.9,12.2,18.9,110.7,2018
Dallas Mavericks,0.447,0.34,0.524,0.742,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9,2018
